cluster_labels,y,X00,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49
5,0,0.08266336876214886,0.18509309925221862,0.16292025109037045,0.11010412323628255,0.08374631038798336,0.15249149419500113,0.09808129622487938,0.08630816440079281,0.11850461495174919,0.1340543330582213,0.7654682051826052,0.3515945934949354,0.46082498294678687,0.748392847418859,0.6982886205015681,0.48005135107698615,0.3843598341077351,0.4911890089352229,0.4254631418348862,0.651337097971324,0.42978550893178474,0.05551328388782323,0.4106432558096881,0.5038377801122063,0.6819466267607643,0.42604092512048286,0.2955172604588414,0.5914221367373397,0.5519943043200011,0.3960202844407887,0.7153786557061328,0.5258790372685581,0.455930555488065,0.5424894488219149,0.4774484105071327,0.6378737531187076,0.4956667796443913,0.5429524029311014,0.2594807636509056,0.7150738454339304,0.6495953300378148,0.2550874052369739,0.6502942060047646,0.5198707715098538,0.1987773444533128,0.4536994861580176,0.5740869358523434,0.34655779197116643,0.46214182129743075,0.3423686542902782
12,1,0.7282139221108133,0.5674272244931987,0.5927192356007382,0.7707489056583938,0.7194438007107952,0.6021846028596648,0.7689922763198345,0.7564879535491854,0.649399974822562,0.6268444412627387,0.46952870872058955,0.8108966974469152,0.5275622547213857,0.3919173359656962,0.41980700186493247,0.5521115393257343,0.3491555760445088,0.3093498916704456,0.3987665684076614,0.5230299380147941,0.40587816334348936,0.6217438342217925,0.34650277259926676,0.3025846020759574,0.28482771088799974,0.49118496222029756,0.5450930290874964,0.609629857806205,0.4975323617084058,0.5155958181920475,0.3854524733367215,0.42212651041022786,0.48468777980712086,0.2676588486184584,0.5197137850710385,0.6654218582768143,0.8287269904859009,0.3921486976469459,0.5640040593626642,0.22082886193711126,0.47858990439684834,0.4493879962403251,0.5448899288919492,0.4748978669273693,0.7153452831260145,0.5486500593774124,0.6989137073963128,0.6603778071013495,0.7657739116453117,0.4353489961209403
3,1,0.4301198538742439,0.2878565460905413,0.3015720368274669,0.5296016591997811,0.41753792085605207,0.30675427731653976,0.5094360293488862,0.48476390383575685,0.3446795897995219,0.3263423535490799,0.46748848192108466,0.5482875152688951,0.520969094648153,0.6431170369082183,0.3354661084582937,0.34302959820354784,0.6060194358856531,0.4852320934865648,0.5066736451094425,0.634673711405801,0.5070382134901128,0.6667667189583891,0.3849599889109325,0.3977152223150201,0.4663813369123164,0.651159164661978,0.7719824360416572,0.602960804900379,0.12280979760335259,0.39384411328026037,0.5178104377163049,0.4374451387941814,0.2992281007789653,0.43637489505423777,0.6107278837980085,0.4285067674022077,0.39099296075864576,0.45742783056541736,0.47714191787452265,0.28984377904128944,0.8058205145177179,0.8044469824869683,0.4739350951447805,0.6192035262488884,0.42769444462150374,0.7935399159746542,0.4870027865980348,0.4828740233118485,0.46425025279301757,0.4526738644807105
14,0,0.8580448604395574,0.8435179945128406,0.8583765137572652,0.7800619524618225,0.8634752417582405,0.8623425384932542,0.8067781811912018,0.8183021081316282,0.8713499053255664,0.8670074184385178,0.5652935614887719,0.3393060985780231,0.6673375844199843,0.5268100249496265,0.5897523785131782,0.0,0.4133850128294943,0.5225676230232957,0.35282486268223245,0.31824281770894053,0.6954440239236066,0.4246032936494849,0.721310117054614,0.6717834431073686,0.4568950345777524,0.6484128907190578,0.32943563136675397,0.2933849191405109,0.5654399956855015,0.4165046517519498,0.6551807311709952,0.37641003649848936,0.5081218608599207,0.06209028066070105,0.7140048127430355,0.8722667424607784,0.4703704550586383,0.3985487076041706,0.6677956654265949,0.5152394602690509,0.5007022175078726,0.17646451621709391,0.6359058901266558,0.44436531757325576,0.5355657173201216,0.6595597774843611,0.5298817566329689,0.7409831081135223,0.3821977218028979,0.630944093751628
10,1,0.8670540789834994,0.6229035111840812,0.6610726019919869,0.9294196697273966,0.853993413654095,0.676114743174016,0.9263352272815654,0.9104319617037775,0.7481305814878841,0.7138979466697818,0.3107709489409315,0.6661245924491455,0.5473771449023535,0.14199797910292195,0.43688862124229294,0.7341336414181896,0.35839639244620614,0.4548166371454146,0.4091034945027139,0.2822283844310617,0.586850853097184,0.46839422679007026,0.6906578744627333,0.49601793214359485,0.7500954340735115,0.4842038494017356,0.5861257976139441,0.5875256316886642,0.5325375107462154,0.33659053047612747,0.49817755780590894,0.45522948238818783,0.3393417618760227,0.4161088233589276,0.5052456013427218,0.4192495265640236,0.4944989069225922,0.6920190000835332,0.6503658743756086,0.491857041768912,0.3133887565816589,0.4201395197360617,0.36746666980691634,0.6732349246836237,0.6504075820554551,0.5059153990900996,0.8005159560121992,0.6222174262881778,0.36492241826448435,0.305428302367563
7,1,0.19259115458501175,0.32744675915662136,0.30560902989910055,0.1747009399374106,0.1982770123297115,0.2948738269711388,0.17466511139878266,0.17212803694464562,0.2535598397869852,0.2726590408005422,0.2980804159241698,0.4512640397933481,0.5564602604528066,0.5080106966617868,0.572329122014237,0.3256337077595226,0.32644365414052323,0.4536862006240741,0.33115066324942055,0.3346752329867466,0.4734776891502442,0.49261389560287755,0.4962637661091583,0.3692263726976303,0.48016489860069983,0.27774232109329416,0.4853205764402153,0.604853578294003,0.42131196994838566,0.43675664215593857,0.6806544413576053,0.5068547580970452,0.7038877611204887,0.6246817796906263,0.6753724246348245,0.7516922622149472,0.6179289117918507,0.5823765154022934,0.5732364850654685,0.5456672216544888,0.5239808107989664,0.2556225078122544,0.7046591225131295,0.6885097121854461,0.47282101106520336,0.5431673160833239,0.689305675747088,0.4001655592385699,0.2788444848415404,0.2814970938168918
1,0,0.4422355835220507,0.12107631260832669,0.15312556126601617,0.6498976777316148,0.4153355253883442,0.16698723280617306,0.6068563869503338,0.5610752126761293,0.25407391384849276,0.21241801471170418,0.34281897244570136,0.45792094161726504,0.7725990340985193,0.7000240275078621,0.6639861692195856,0.5001377865455159,0.5084380555717684,0.6046035437510461,0.49893430014242307,0.3011943571417602,0.36442570176000677,0.4023693852234208,0.5261878649705001,0.5832640284755511,0.6422577581694393,0.5409005644383618,0.9585084911363229,0.7966408767422222,0.4959250354930301,0.3141715998441091,0.6216087554510604,0.5678472715223987,0.37061408059828055,0.3334748456067893,0.6859828624809514,0.525624004806116,0.6870518895018491,0.4232999070759921,0.6917741415930357,0.5209867121873534,0.6433047991275969,0.40781193299406515,0.34910101728975357,0.4363799985544329,0.3373767819653076,0.3348661411441607,0.382135546308515,0.6628736278811618,0.5726597166524283,0.38587475829594914
10,1,0.8423635916732948,0.5920824393225549,0.630063360312674,0.9141998611309065,0.8283637423946323,0.6451141890763787,0.908573637948155,0.8907326096522298,0.718457772581663,0.6835785647693405,0.33237806311671614,0.5705419407773707,0.5340868457775241,0.6408697433160523,0.3228708345673774,0.6033196811471853,0.5615954656350156,0.509772736822115,0.5647747105566607,0.5191736435697926,0.545066210752165,0.4112428096088141,0.39508533147928654,0.21035725226146135,0.5155473066765093,0.330027927914934,0.28853026526961134,0.39692681905896077,0.7141292691271279,0.3182032767396502,0.4290562417468686,0.36789236478930276,0.6571851665738562,0.5507838377158959,0.6972533740344402,0.44079039885073246,0.6102653264539318,0.6012973624222688,0.6004248878775071,0.6025213539948523,0.7230042129291747,0.6238663214307772,0.4873303443512635,0.7129995802739395,0.6548754345543552,0.5785067291650209,0.27656040363504525,0.4577544164072782,0.35686277686920814,0.41055697105632716
17,0,0.851286739687138,0.7362908389153919,0.7609982436329996,0.8371667998151182,0.8484336311806687,0.7696879401024787,0.8500954412240156,0.8491008185541125,0.8061116688702124,0.7887575016449431,0.6901851938388678,0.46513203638293077,0.3452609373567568,0.40024348511000196,0.4011226331673414,0.6836333777340649,0.5624852125511378,0.32994362777401776,0.2996147447680667,0.09728619527092552,0.591830051163999,0.6311025772039175,0.3352150488660403,0.5221079446028479,0.4053827694408134,0.2612245392356801,0.546766105421568,0.48118854525147264,0.39320410319646454,0.3035503304416113,0.7067689813783071,0.353050602627228,0.5400606187597753,0.3229745923906291,0.7582703099305501,0.6213344383843311,0.7847919246751545,0.6524973256576392,0.5257726667267503,0.6188048300055161,0.4767782782356568,0.5683435202988287,0.3172378297968017,0.5795143322949989,0.511945517479894,0.3737866672464891,0.5596529606073669,0.38695737286875814,0.16091008528779804,0.4455432531010857
7,0,0.189167082633087,0.23344033815785947,0.22058412319537024,0.22824745142616626,0.18743613342893128,0.2141317067233744,0.21596153475875357,0.20227296596555427,0.19757280551152445,0.20492676840180873,0.42247313391213825,0.5039056419927376,0.2649959816276898,0.4644449044086607,0.6637643665218556,0.35520933480591343,0.14189062298682303,0.426430265653376,0.5171765660247697,0.31065972073419473,0.5686432966789794,0.6096189275482955,0.4882685094440602,0.4430060010103249,0.646245847918534,0.37992175714376625,0.5741841571473063,0.4365760644783213,0.7489703699627396,0.2789513334686945,0.49853222938688113,0.6146794383336427,0.3669043611073075,0.48409786773857655,0.30591348461071477,0.7463704534208503,0.34013199553383333,0.3821805808762274,0.44138418149663616,0.47089694664053444,0.7132746548524642,0.6004921724972483,0.6307869944935414,0.7009441353563267,0.6781881352069656,0.5996115354540899,0.594153200033319,0.22871018436013257,0.3869302041262244,0.48746659442842605
