cluster,coef_X00,coef_X01,coef_X02,coef_X03,coef_X04,coef_X05,coef_X06,coef_X07,coef_X08,coef_X09
0,-0.5764770445437577,4.661383394529147,4.1173439356700365,-3.6929178880831715,-0.16116634199240346,3.860717512238478,-3.0386409156348204,-2.431328541004733,2.418248948041234,3.1022119932005014
1,-2.5905295362953606,-0.37111555469539476,-0.6784175954766082,-3.370819052373851,-2.456593369927615,-0.8138866846104952,-3.2582625958858453,-3.114722956320873,-1.4583828724916774,-1.1542147584984517
2,2.25147855683199,2.0868642875425025,2.176846591643154,1.836883476150288,2.2783062534839513,2.2102009208103173,1.9725496328149783,2.0613381040363437,2.287073540645991,2.2520528182858732
3,1.7364669605235203,3.515646950140694,3.394044268133088,0.2335218977382892,1.9120767431708052,3.3288297228653145,0.5911938336197867,0.8910817419416703,2.8661822456425843,3.086782467744267
4,0.8093272690514236,-3.500458383518674,-3.0413348922820416,3.297479652510085,0.4738820279626225,-2.826650242325426,2.7824699008045304,2.298621486929379,-1.6352242532778063,-2.1998539850849634
5,2.2961798727898888,-2.9309915980652788,-2.3314906648308975,5.011628223748214,1.9127662116837842,-2.056110271213494,4.479073496969212,3.9558958305645135,-0.5923694258866938,-1.2851779910934742
6,-2.450674021093447,-3.216382891275152,-3.2195323853382436,-1.413632596820907,-2.55681352454599,-3.210660574617702,-1.686523742990101,-1.8975588385984925,-3.0355837341761585,-3.1203028412984657
7,-3.186483071760775,1.4464590710397567,0.8773388825130755,-5.329162006794525,-2.8673013796504856,0.6203287752817668,-4.937677787576878,-4.529530514740049,-0.6932406583706605,-0.07223671474031541
8,-1.8699685520554106,2.9785491319815285,2.430500472171311,-4.448260805083282,-1.5098007122834471,2.1781685468066407,-3.936201357437511,-3.4384093273570775,0.8241847176214246,1.465252835085208
9,-1.3589249167467603,-0.11604666025799157,-0.2849841500793743,-1.817844177922837,-1.282313763473078,-0.3599397211995108,-1.748278202183174,-1.663193919441513,-0.71957582126344,-0.549778745653718
10,-1.7297556862486576,-2.4475294014464417,-2.431759643679076,-0.8878043489910791,-1.8189503479913742,-2.4173666787580332,-1.1039864937573483,-1.2746370410744448,-2.245395548621581,-2.3281599444191783
11,2.3274741251273223,0.2739701716389908,0.5555638982948033,3.0667138486036,2.202186405979888,0.6803681733580307,2.9574574495975123,2.8209520846559166,1.275767754035291,0.994808715329885
12,1.8474540996270634,1.7520086182027357,1.8217690787118863,1.482463441691756,1.8726625536298287,1.8474661601913234,1.5991541981261674,1.6769471657603825,1.8997883366131931,1.8761523599875491
13,1.5138558871691397,-0.9064407767655586,-0.6144681183610183,2.667158526726274,1.3442180505918055,-0.4815521834825046,2.452326412527972,2.2320478073209067,0.20271544083853754,-0.12091950873880608
14,-3.7226390207861795,-2.8417787663710112,-3.0511926221449595,-3.4146551697969345,-3.7175287986702523,-3.1359581125400666,-3.55827248804093,-3.631614533453553,-3.4301509555342053,-3.293081723619465
15,1.052081610883533,5.296354881586791,4.90512989104647,-1.821506356178044,1.4157076787241816,4.714453124968544,-1.1854493400194566,-0.6196045979709399,3.567116874238001,4.112023776281292
16,2.3647907381823123,-1.8863348326715603,-1.3835338779444253,4.458580631796957,2.061707063496245,-1.1530655851724139,4.060812032567559,3.65929205990312,0.04478190417693332,-0.5218780355497592
17,3.1412345557975736,0.38630986366572867,0.7645762191456411,4.128636583325353,2.973606124985038,0.9324002530365735,3.983496522751878,3.801221071883285,1.7315494274331102,1.3544977592252985
18,-2.663488169310596,-2.6418855446521246,-2.730861780487588,-2.0659912509705625,-2.709219074028362,-2.7621851787542764,-2.249417097319561,-2.375390533369519,-2.8057199922845744,-2.7867261465789563
19,2.873170008290844,2.734620253011881,2.842181349527772,2.299421126940311,2.9132504883937473,2.8816844450101553,2.482293094276212,2.60438912529949,2.9603246126848046,2.924825743214133
20,0.5969638542722057,3.2391159116323203,2.9936699463599217,-1.178413087764506,0.8222490953659002,2.8742472119388585,-0.786469119867775,-0.43721730224818645,2.1590950706493164,2.4987145312600947
21,1.6567443102069874,-2.799500933838221,-2.2987560315864948,4.040313932221247,1.3242705731935742,-2.0669941228439663,3.56545869196797,3.105083777448603,-0.8231822756239264,-1.4122783604738096
22,-0.825772383803101,-1.3492407480986839,-1.3237256693457264,-0.3113073065727917,-0.8830616280469092,-1.308132269959967,-0.4385328318631219,-0.5420249244275513,-1.1764608259503573,-1.239441968599746
23,-1.5459114819424167,3.8327059111527646,3.2419578042095307,-4.527228196551018,-1.136809321861691,2.9680743227085054,-3.922326059674384,-3.3445875527537017,1.4735054947993862,2.1814781725740873
24,-0.40402033335657667,-0.5720450956001997,-0.5683775804586196,-0.20709954518061732,-0.42488101567077513,-0.5649593178819424,-0.25761755407671927,-0.2975583368471145,-0.524670524897177,-0.5440373521862109
25,-1.9907956718506623,3.6965805737429887,3.0610132876893323,-5.063012110321772,-1.5642423572003823,2.7672047375839295,-4.447867325171287,-3.8537944230496546,1.1818045545962457,1.932563964556074
26,-2.9745808873716406,-4.695247662813272,-4.619765799085054,-1.2247326622399455,-3.167510272659774,-4.571330801031822,-1.6609039038879303,-2.0133054282083735,-4.142107751347411,-4.347623087665182
27,2.375011889408524,-0.8142291671519493,-0.41697564237163703,3.807785496338212,2.158259119843738,-0.23767943161393565,3.5511281795493903,3.279184676111564,0.6692667063936005,0.24052741950394763
28,0.2529890195433368,-1.2968859576185416,-1.1328164806920071,1.1539010653207358,0.13180321842334233,-1.0558447262288795,0.9667667058135909,0.791612135604481,-0.6277068645170654,-0.8306213264107198
29,-2.2838729222547007,3.653151052293128,2.982792244794749,-5.4418206306337416,-1.8424460381370682,2.673592535896624,-4.8145197522535055,-4.204866831113215,1.0155590685148315,1.800594509180451
